player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Eugene Lewis,47434,WR,PENN STATE,13,34.2,0,266,64.3,,62.6,0,0,0,0.0,0.0,,0,0,0,233,0,0,0,682,0,448,0,0,233,0
Miles Thomas,16572,FB,MINNESOTA,13,86.9,0,225,70.0,67.7,67.8,1,1,36,51.4,52.7,97.2,0,2,0,233,0,0,0,268,39,74,0,0,194,5
Dalton Gifford,16973,T,UCONN,5,100.0,0,146,58.6,62.4,56.8,4,4,136,100.0,100.0,95.6,1,10,2,233,0,0,0,233,146,146,0,232,87,1
Demarco Robinson,14460,WR,KENTUCKY,12,43.2,0,202,65.2,,62.2,0,0,0,0.0,0.0,,0,0,0,232,0,0,0,537,0,304,0,0,232,1
Devin Clarke,39437,WR,MIDDLE TN,10,49.5,0,224,65.5,,59.2,0,0,0,0.0,0.0,,2,0,0,232,0,0,0,469,0,237,0,0,232,1
Alex Ludowig,17719,WR,AIR FORCE,13,75.6,0,101,64.1,,83.0,0,0,0,0.0,0.0,,2,0,0,232,0,0,0,307,0,75,0,0,232,1
Marquise Williams,11419,QB,N CAROLINA,13,26.3,0,245,74.4,,60.2,0,0,0,0.0,0.0,,3,0,0,232,0,0,0,883,0,514,0,0,232,0
Matt Moen,29459,TE,NEVADA,13,82.3,0,239,52.6,74.6,63.0,0,0,20,30.8,28.6,100.0,3,0,0,232,0,0,0,282,20,70,0,0,212,276
David Frazier,14648,WR,MIAMI OH,12,30.9,0,221,77.0,61.0,77.8,0,0,1,0.2,0.2,100.0,0,0,0,232,0,0,0,751,1,519,0,0,231,1
Donovahn Jones,21348,WR,MINNESOTA,11,63.1,0,225,62.5,,59.7,0,0,0,0.0,0.0,,1,0,0,231,0,0,0,366,0,131,0,0,231,0
Ben McCord,11432,TE,C MICHIGAN,13,61.8,0,134,65.6,75.9,73.2,0,0,23,14.6,13.9,100.0,1,0,0,231,0,0,0,374,23,166,0,0,208,291
Darren Carrington II,48219,WR,OREGON,14,49.4,0,264,78.8,,67.5,0,0,0,0.0,0.0,,1,0,0,231,0,0,0,468,0,237,0,0,231,1
Darrin Laufasa,47296,FB,UTEP,13,79.4,0,330,71.0,76.2,76.4,0,0,4,8.5,9.8,100.0,1,0,0,231,0,0,0,291,5,51,0,0,226,55
Justin McCay,15802,WR,KANSAS,12,44.3,1,198,52.4,,69.1,0,0,0,0.0,0.0,,2,0,0,231,0,0,0,522,0,291,0,0,231,0
Alphonse Taylor,34786,G,ALABAMA,9,100.0,0,103,64.7,74.2,63.5,0,4,111,100.0,100.0,98.2,1,4,0,230,0,32,0,230,113,113,198,0,117,0
Shay Fields,47791,WR,COLORADO,12,34.5,0,143,60.7,,57.1,0,0,0,0.0,0.0,,1,0,0,230,0,0,0,667,0,433,0,0,230,0
Mike Dudek,28753,WR,ILLINOIS,13,33.2,0,187,82.0,67.8,77.3,0,0,1,0.2,0.2,100.0,1,0,0,230,0,0,1,692,1,457,0,0,229,0
Donovan Harden,16201,WR,GA STATE,12,33.5,0,175,69.6,,46.5,0,0,0,0.0,0.0,,2,0,0,230,0,0,0,687,0,455,0,0,230,0
Quinshad Davis,11131,WR,N CAROLINA,13,42.5,0,245,73.5,,75.3,0,0,0,0.0,0.0,,1,0,0,230,0,0,0,541,0,311,0,0,230,0
Andrew McNulty,39495,QB,N TEXAS,10,46.9,0,251,52.4,,60.0,0,0,0,0.0,0.0,,1,0,0,230,0,0,0,490,0,234,0,0,230,0
Devin Funchess,9474,WR,MICHIGAN,11,39.8,2,222,72.0,69.8,65.3,0,0,1,0.3,0.3,100.0,3,0,0,229,0,0,0,576,1,345,0,0,228,21
Chongo Kondolo,18757,G,NEBRASKA,9,100.0,1,238,74.5,88.1,78.1,0,1,76,100.0,100.0,99.3,4,1,0,229,0,0,0,229,78,78,229,0,151,0
Jake Reed,11054,C,INDIANA,7,100.0,0,190,62.5,83.4,57.0,0,2,86,100.0,100.0,98.8,0,2,0,229,219,10,0,229,92,92,0,0,137,0
Brandon Hayes,14621,HB,MEMPHIS,12,37.1,0,218,73.8,88.6,69.2,0,5,116,38.8,38.6,97.8,0,5,0,229,0,0,0,618,119,308,0,0,110,0
