player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Malcolm DeWalt IV,190966,CB,AKRON,12,300,0,102,0,9.8,36.4,100.0,12.3,4.5,0,1,9.1,56.3,0,39,0.0,0,1,82.8,4,52,17.3,52,1,2,11,1,53,24,1.1,13.3,0,1,13.2,60.0,99.1,13.5,8.1,1,5,20.0,75.9,1,45,0.0,0,4,80.6,15,209,69.7,211,5,15,25,1,191,26,0.9,12.7
Dahvon Frazier,190968,ED,AKRON,11,25,0,102,0,,,31.6,,,0,0,,62.4,0,,,0,0,0.0,0,6,24.0,19,0,0,0,0,0,0,0.0,,0,1,9.5,50.0,26.7,16.0,8.0,0,0,0.0,54.2,0,14,0.0,0,0,72.9,1,16,64.0,60,0,1,2,0,14,0,0.9,14.0
Jahvon Frazier,190969,ED,AKRON,10,3,0,102,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,5,0,0,0,0,0,0,,,0,0,,,7.1,,,0,0,,60.4,0,,,0,0,0.0,0,2,66.7,28,0,0,0,0,0,0,0.0,
Jason Hocker,190972,LB,AKRON,3,9,0,102,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,11.1,1,0,0,0,0,0,0,0.0,,0,0,4.0,100.0,72.7,8.0,8.0,0,0,0.0,45.2,0,13,100.0,1,0,118.8,1,8,88.9,11,0,0,1,0,13,9,1.6,13.0
Ronald Hull,190973,DI,AKRON,12,1,0,102,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,53,0,0,0,0,0,0,,,0,0,,,0.5,,,0,0,,59.2,0,,66.7,2,0,0.0,0,1,100.0,187,2,1,0,0,0,0,0.0,
Keyveon Johnson,190974,CB,AKRON,2,2,0,102,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,50.0,1,0,0,0,0,0,0,0.0,
Josira Andrews,191001,CB,BOWL GREEN,2,20,0,122,0,3.5,50.0,100.0,4.0,2.0,0,0,0.0,54.0,0,9,100.0,1,0,62.5,1,4,20.0,4,0,0,2,0,9,6,2.3,9.0,0,0,17.0,66.7,100.0,7.5,5.0,0,0,0.0,67.5,0,12,0.0,0,0,81.3,2,15,75.0,15,0,4,3,0,17,1,1.1,8.5
Tysen Campbell,191027,S,C MICHIGAN,1,2,0,134,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,100.0,,,0,0,,60.8,0,,,0,0,0.0,0,2,100.0,2,0,0,0,0,0,0,0.0,
Victor Earl,191030,LB,C MICHIGAN,7,33,0,134,0,,,85.7,,,0,0,,62.7,0,,,0,0,0.0,0,6,18.2,7,0,0,0,0,0,0,0.0,,0,0,4.3,66.7,77.3,8.5,5.7,0,0,0.0,52.1,0,14,0.0,0,0,86.8,2,17,51.5,22,0,2,3,0,21,20,1.2,10.5
Keyton Jones,191033,CB,C MICHIGAN,2,7,0,134,0,14.0,0.0,100.0,,2.0,0,0,0.0,53.8,0,,,0,0,39.6,0,3,42.9,3,0,0,1,0,0,0,0.0,,0,0,,,100.0,,,0,0,,62.1,0,,,0,0,0.0,0,3,42.9,3,0,0,0,0,0,0,0.0,
Landon Swanson,191047,ED,C MICHIGAN,4,3,0,134,0,,,16.7,,,0,0,,60.0,0,,,0,0,0.0,0,1,33.3,6,0,0,0,0,0,0,0.0,,0,0,,,11.1,,,0,0,,60.3,0,,,0,0,0.0,0,2,66.7,18,1,0,0,0,0,0,0.0,
Chance Harrison,191057,S,COLO STATE,8,27,0,144,0,7.0,100.0,94.4,3.2,3.2,0,0,0.0,43.9,0,20,33.3,1,0,115.0,5,17,63.0,18,0,2,5,0,58,23,3.6,11.6,0,0,12.0,0.0,100.0,,6.0,0,0,0.0,72.6,0,,0.0,0,0,39.6,0,6,22.2,6,0,1,1,0,0,0,0.0,
Chris Jackson,191059,CB,COLO STATE,4,16,0,144,0,0.7,66.7,73.3,5.0,3.3,0,0,0.0,70.7,0,5,0.0,0,0,70.1,2,11,68.8,15,2,2,3,0,8,9,0.8,4.0,0,0,,,100.0,,,0,0,,61.1,0,,,0,0,0.0,0,2,12.5,2,0,0,0,0,0,0,0.0,
Owen Long,191061,LB,COLO STATE,12,283,0,144,1,4.8,69.2,68.1,13.1,9.1,0,2,15.4,58.5,0,21,30.0,3,2,106.3,9,130,45.9,191,2,6,13,1,65,51,0.6,7.2,0,4,5.5,93.3,93.4,4.8,4.5,0,0,0.0,54.9,0,17,6.7,1,0,122.8,14,71,25.1,76,7,10,15,1,122,54,1.8,8.7
Jack Moran,191064,DI,COLO STATE,12,1,0,144,1,,,1.2,,,0,0,,60.2,0,,0.0,0,0,0.0,0,1,100.0,85,0,0,0,0,0,0,0.0,,0,1,,,0.0,,,0,0,,69.2,0,,0.0,0,0,0.0,0,0,0.0,32,0,0,0,0,0,0,,
Dagan Myers,191065,S,COLO STATE,6,31,0,144,0,44.0,100.0,85.7,17.0,17.0,0,0,0.0,55.7,0,45,,0,0,158.3,1,18,58.1,21,0,0,1,1,45,1,2.6,45.0,0,0,,,100.0,,,0,0,,64.9,0,,0.0,0,0,0.0,0,8,25.8,8,0,1,0,0,0,0,0.0,
AJ Noland,191066,S,COLO STATE,6,123,0,144,0,12.0,88.9,84.3,6.8,6.0,0,0,0.0,57.1,0,42,33.3,4,0,158.3,8,59,48.0,70,2,8,9,2,145,44,2.7,18.1,0,1,8.8,100.0,96.7,5.8,5.8,0,0,0.0,55.7,0,61,33.3,1,0,118.8,5,29,23.6,30,1,1,5,0,102,58,3.5,20.4
Auckland Asiata,191075,DI,FRESNO ST,3,1,0,169,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,24,0,0,0,0,0,0,,,0,0,,,3.3,,,0,0,,59.9,0,,,0,0,0.0,0,1,100.0,30,0,0,0,0,0,0,0.0,
Kiontre Harris,191083,CB,FRESNO ST,1,6,0,169,0,,,100.0,,,0,0,,63.1,0,,,0,0,0.0,0,4,66.7,4,0,0,0,0,0,0,0.0,,0,0,,,100.0,,,0,0,,61.2,0,,,0,0,0.0,0,2,33.3,2,0,0,0,0,0,0,0.0,
Tytus Khajavi,191085,LB,FRESNO ST,10,149,0,169,0,4.3,33.3,83.0,43.0,14.3,0,0,0.0,67.6,0,2,0.0,0,0,42.4,1,44,29.5,53,1,3,3,0,2,3,0.0,2.0,0,3,8.8,52.9,95.3,10.3,5.5,0,1,5.9,60.1,1,20,11.1,1,1,40.1,9,102,68.5,107,4,5,17,0,75,26,0.8,8.3
Loyall Mouzon,191087,CB,FRESNO ST,3,13,0,169,0,11.0,100.0,100.0,3.0,3.0,0,0,0.0,58.0,0,10,0.0,0,0,135.4,2,6,46.2,6,1,1,2,1,14,0,2.3,7.0,0,0,6.0,100.0,100.0,7.0,7.0,0,0,0.0,65.8,0,6,0.0,0,0,91.7,1,7,53.8,7,0,1,1,0,6,0,0.9,6.0
Jordan Pierro,191090,S,LA TECH,1,1,0,208,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,1,0,0,0,0,0,0,0.0,
Logan Studt,191092,LB,FRESNO ST,11,66,0,169,0,-5.0,50.0,81.8,17.0,8.5,0,0,0.0,77.4,0,-3,0.0,0,0,56.3,1,18,27.3,22,2,2,2,0,-3,1,-0.2,-3.0,0,1,4.0,100.0,100.0,9.2,9.2,0,0,0.0,61.1,0,14,0.0,0,0,97.5,5,46,69.7,46,1,1,5,0,37,17,0.8,7.4
Dillano Glaud,191096,LB,LIBERTY,6,40,0,206,0,,,61.5,,,0,0,,70.4,0,,,0,0,0.0,0,8,20.0,13,0,0,0,0,0,0,0.0,,0,0,-6.0,100.0,100.0,12.5,12.5,0,0,0.0,70.5,0,11,0.0,0,0,89.6,2,26,65.0,26,2,3,2,0,11,23,0.4,5.5
Michael Pangaro,191118,S,UMASS,4,11,0,216,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,9.1,1,0,0,0,0,0,0,0.0,,0,0,,,88.9,,,0,0,,64.4,0,,,0,0,0.0,0,8,72.7,9,0,0,0,0,0,0,0.0,
Keith Sarkodieh,191120,S,UMASS,7,30,0,216,0,,,100.0,,,0,0,,66.3,0,,0.0,0,0,0.0,0,10,33.3,10,0,1,0,0,0,0,0.0,,0,0,11.0,100.0,94.7,5.7,5.7,0,0,0.0,51.0,0,20,0.0,0,0,118.1,3,18,60.0,19,0,4,3,0,37,4,2.2,12.3
Noah Carter,191124,ED,ALABAMA,9,20,0,103,0,,,36.4,,,0,0,,61.7,0,,,0,0,0.0,0,4,20.0,11,1,0,0,0,0,0,0.0,,0,0,7.0,0.0,40.5,,15.0,0,0,0.0,65.0,0,,0.0,0,0,39.6,0,15,75.0,37,0,1,1,0,0,0,0.0,
QB Reese,191138,LB,ALABAMA,2,10,0,103,0,,,66.7,,,0,0,,60.9,0,,,0,0,0.0,0,2,20.0,3,0,0,0,0,0,0,0.0,,0,0,28.0,0.0,100.0,,7.0,0,0,0.0,71.3,0,,,0,0,39.6,0,7,70.0,7,0,0,1,0,0,0,0.0,
Austin Alexander,191161,CB,KANSAS,12,284,0,198,0,13.5,63.6,100.0,10.0,6.4,0,0,0.0,49.1,0,78,33.3,2,0,137.5,7,72,25.4,72,1,4,11,1,150,55,2.1,21.4,0,2,5.9,75.0,99.3,9.6,7.2,0,0,0.0,71.4,0,32,16.7,4,0,94.8,15,150,52.8,151,7,18,20,0,145,88,1.0,9.7
Jon Jon Kamara,191170,LB,KANSAS,11,93,0,198,0,22.0,0.0,73.3,,21.0,0,0,0.0,69.3,0,,,0,0,39.6,0,22,23.7,30,0,0,1,0,0,0,0.0,,0,2,11.6,80.0,76.2,11.3,9.0,0,0,0.0,54.1,0,26,0.0,0,0,118.8,4,48,51.6,63,1,3,5,0,63,24,1.4,15.8
DJ Warner,191178,ED,SMU,12,24,0,287,0,,,21.4,,,0,0,,64.5,0,,0.0,0,0,0.0,0,9,37.5,42,1,2,0,0,0,0,0.0,,0,0,20.0,0.0,11.5,,12.0,0,0,0.0,54.0,0,,100.0,1,0,39.6,0,12,50.0,104,1,0,1,0,0,0,0.0,
Pat Broomfield,191183,CB,OLE MISS,1,1,0,226,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,1,0,0,0,0,0,0,0.0,,0,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,
Will Echoles,191186,DI,OLE MISS,13,4,0,226,0,,,6.0,,,0,1,,62.3,0,,0.0,0,1,0.0,0,3,75.0,50,0,1,0,0,0,0,0.0,,0,1,,,0.4,,,0,0,,65.5,0,,60.0,3,0,0.0,0,1,25.0,243,6,1,0,0,0,0,0.0,
Fatt Forrest,191196,S,MISS STATE,2,8,0,227,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,100.0,,,0,0,,65.3,0,,,0,0,0.0,0,8,100.0,8,0,0,0,0,0,0,0.0,
Cyrus Reyes,191207,S,MISS STATE,3,22,0,227,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,6.0,50.0,100.0,13.0,6.5,0,1,50.0,50.5,0,11,,0,1,66.7,1,16,72.7,16,0,0,2,0,11,10,0.8,11.0
Dexter Foster,191212,LB,OREGON ST,7,199,0,265,0,,,59.2,,,0,0,,59.9,0,,,0,0,0.0,0,45,22.6,76,0,0,0,0,0,0,0.0,,0,0,-1.1,88.9,94.7,15.1,13.4,0,0,0.0,51.4,0,21,28.6,2,0,100.9,8,126,63.3,133,2,5,9,0,74,83,0.6,9.3
Shamar Meikle,191220,ED,OREGON ST,11,46,0,265,0,0.5,100.0,31.1,7.0,7.0,0,0,0.0,70.4,0,11,0.0,0,0,95.8,2,14,30.4,45,2,1,2,0,14,13,1.0,7.0,0,1,2.6,80.0,28.0,6.8,5.4,0,0,0.0,70.0,0,34,0.0,0,0,158.3,4,28,60.9,100,4,3,5,1,68,55,2.5,17.0
Chris Jones,191241,LB,SO MISS,12,254,0,296,3,6.8,100.0,64.9,11.3,11.3,0,0,0.0,71.3,0,26,0.0,0,0,111.5,4,48,18.9,74,2,1,4,0,43,16,1.0,10.8,0,8,9.4,66.7,78.4,11.5,7.7,0,1,4.8,42.2,1,34,25.0,6,1,80.3,14,167,65.7,213,5,10,21,0,214,114,1.3,15.3
Layne Gerke,191256,S,TEXAS A&M,1,1,0,312,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,1,0,0,0,0,0,0,0.0,
