player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_kick_return,grades_punt_return,grades_return,kickoff_attempts,kickoff_fair_catches,kickoff_long,kickoff_muffed_returns,kickoff_touchdowns,kickoff_yards,kickoff_ypa,penalties,punt_attempts,punt_fair_catches,punt_long,punt_muffed_returns,punt_touchdowns,punt_yards,punt_ypa,total_attempts
Kerry Wilson,173682,S,LA LAFAYET,12,0,207,61.8,,61.9,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,1
Peyton Bowen,173687,S,OKLAHOMA,13,0,261,58.0,,57.6,1,0,15,0,0,15,15.0,0,0,0,0,0,0,0,,1
Jacobe Johnson,173703,CB,OKLAHOMA,11,0,261,,60.3,60.4,0,0,0,0,0,0,,1,1,0,0,1,0,0,0.0,1
Hollywood Smothers,173719,HB,NC STATE,11,0,248,61.8,,61.9,1,0,1,0,0,1,1.0,0,0,0,0,0,0,0,,1
Jaden Barnes,173738,WR,APP STATE,10,0,108,60.0,79.5,71.5,0,0,0,0,0,0,,0,16,9,77,0,1,154,9.6,16
Marquez Taylor,173772,HB,UTEP,9,0,330,56.1,,55.5,4,1,21,0,0,63,15.8,0,0,0,0,0,0,0,,4
Josh Williamson,173809,WR,KENNESAW,11,0,200,61.8,,61.9,1,0,14,0,0,14,14.0,0,0,0,0,0,0,0,,1
Kaden Cloud,173852,FB,AIR FORCE,12,0,101,59.9,,59.9,1,0,14,0,0,14,14.0,0,0,0,0,0,0,0,,1
Kade Frew,173863,FB,AIR FORCE,12,0,101,56.6,,56.0,1,1,24,0,0,24,24.0,0,0,0,0,0,0,0,,1
Javon Robinson,173924,WR,GA STATE,12,0,175,,57.4,58.4,0,0,0,0,0,0,,0,8,17,6,1,0,14,1.8,8
Malcolm Gillie,173996,WR,COAST CAR,12,0,141,66.8,,67.3,17,1,96,0,1,443,26.1,0,0,0,0,0,0,0,,17
TJ Horton,173999,HB,BALL ST,10,0,117,77.8,,79.9,13,0,90,0,1,329,25.3,0,0,0,0,0,0,0,,13
Benjamin Hall,174038,HB,N CAROLINA,12,0,245,65.3,,66.3,1,1,24,0,0,24,24.0,0,0,0,0,0,0,0,,1
Semaj Morgan,174043,WR,MICHIGAN,10,0,222,60.0,56.9,58.0,0,0,0,0,0,0,,0,14,11,13,1,0,29,2.1,14
Jacob De Jesus,174068,WR,CAL,12,0,130,52.4,81.2,64.1,16,2,36,0,0,330,20.6,0,20,24,25,2,0,188,9.4,36
Christian Earls,174069,TE,PURDUE,12,0,273,59.9,,59.9,0,1,0,0,0,0,,0,0,0,0,0,0,0,,0
